ID,wildsoort,afschot_datum,afschotjaar,gemeente_comp,provincie
c716bb38829e0c2b7937df9c543565d652a3b804,Muntjak,NA,2016,NA,NA
c716bb38829e0c2b7937df9c543565d652a3b804,Muntjak,NA,2017,BRASSCHAAT,Antwerpen
66715a7d0f103213aac2b3f3f72fa4fa1a6a6097,Muntjak,2016-09-12,2016,LOKEREN,Oost-Vlaanderen
33b6e303bb687b78ec06b8c0b66fbbf5a7f71126,Muntjak,2018-01-01,2018,ARENDONK,Antwerpen
e5ad27de4316b2cbcbaa377e24d4b49f00e25594,Muntjak,2019-01-01,2019,ARENDONK,Antwerpen
a5615e68114071dbad6d84e6d4b5a4afa19d94ef,Muntjak,2019-01-01,2019,ARENDONK,Antwerpen
715264ee1b3d549350b6947797888cf3d8ae0c98,Muntjak,2019-01-01,2019,ARENDONK,Antwerpen
0a403be313bc7cd1ee86dd5a5e4317b3ac3933a0,Muntjak,2019-01-15,2019,LOVENDEGEM,Oost-Vlaanderen
f9a4938c37658a326ed488e9bb8e958ad876a89b,Muntjak,2019-01-31,2019,LOVENDEGEM,Oost-Vlaanderen
1bb1f42a54759dd3ad00a6cbb70647d87042375b,Muntjak,2019-01-31,2019,LOVENDEGEM,Oost-Vlaanderen
ddf1e960fef00990dbbf34c8c5bc42f52a242228,Muntjak,2019-05-18,2019,RETIE,Antwerpen
fffd6734c16abf2f1960b8e9c79a19d43bd56bec,Muntjak,2019-11-20,2019,KORTEMARK,West-Vlaanderen
5ad564ffe21da032d5853f99ca983bd4b18720b2,Muntjak,2019-08-10,2019,WUUSTWEZEL,Antwerpen
973caaa28400fbfff21917ba51dc283f47b76a10,Muntjak,2020-01-01,2020,ARENDONK,Antwerpen
9731f19a8202f9be7c3567666cfe6ecd86f62ca6,Muntjak,2020-01-01,2020,ARENDONK,Antwerpen
b312ec62f1f3da76495c2c3b58f2ddd49d585132,Muntjak,2020-01-01,2020,ARENDONK,Antwerpen
6f82d193635339595c56abdc081e005ce5f6fab7,Muntjak,2020-07-19,2020,LEBBEKE,Oost-Vlaanderen
243e4511af44a5ddfca3a775c64a42426dec5213,Muntjak,2020-03-20,2020,AALST,Oost-Vlaanderen
c294ac8dbe433656c799c267bbf9b06d2cb34e35,Muntjak,2020-03-20,2020,AALST,Oost-Vlaanderen
040ebbed39b32f1dc76d14066fe18bf3518ef512,Muntjak,2020-03-20,2020,AALST,Oost-Vlaanderen
430859d50870ddd12e55fdd1153e4d2b45e5b85a,Muntjak,2020-02-28,2020,AALST,Oost-Vlaanderen
7938f2673cf04587e381bdf59f0590cba0399f2c,Muntjak,2020-06-16,2020,HOUTHULST,West-Vlaanderen
b9f3eedaf13d0a1be1450a3e645a6b2e2480d486,Muntjak,2020-02-22,2020,WUUSTWEZEL,Antwerpen
5557cf6851265bd9ac648bc0ffcbfca7baeb93ff,Muntjak,2020-03-24,2020,LIERDE,Oost-Vlaanderen
cba1103b500773ba938406f7314c23342b1103b5,Muntjak,2020-09-05,2020,WUUSTWEZEL,Antwerpen
d27c741028cef80fe69b9ef71b83abc8f670ce85,Muntjak,2020-11-20,2020,STADEN,West-Vlaanderen
8189ae78690b725a0f06b53e69e951232e3d4a36,Muntjak,2021-01-01,2021,ARENDONK,Antwerpen
74e4bfd1be5f621a3fd5d09e5b6903c237e1f395,Muntjak,2021-02-19,2021,SCHOTEN,Antwerpen
878508fda181d948011e0bbaf7c6a8d28843e570,Muntjak,2021-02-26,2021,SCHOTEN,Antwerpen
d1d0d6c0dedf06fdfadadcff66c9f888f61a3394,Muntjak,2021-03-12,2021,SCHOTEN,Antwerpen
844f59a2df59b3ea3bf5737ffa9194c75abe4d11,Muntjak,2021-03-12,2021,SCHOTEN,Antwerpen
96a239c2626e73518f106820423d59bf6647a941,Muntjak,2021-04-14,2021,ZULTE,Oost-Vlaanderen
9bdf7bf723e8da353c74b85e322f3d9acdc88181,Muntjak,2021-04-30,2021,SCHOTEN,Antwerpen
9b4a628740c43bcfde0bc7ef1f41698c5eddc20a,Muntjak,2021-05-06,2021,WUUSTWEZEL,Antwerpen
8102243ee432ef4f0579111f53ebd239d065312f,Muntjak,2021-10-11,2021,HARELBEKE,West-Vlaanderen
f2e2437496858f561aec274104b93ba0b4c06729,Muntjak,2021-09-19,2021,BOECHOUT,Antwerpen
f57eec6fb805b742feaaf871b5bb24ee329a067b,Muntjak,2022-03-02,2022,SCHOTEN,Antwerpen
82538da56f0ab9a5d3d23d033e94a4899480588d,Muntjak,2022-02-11,2022,SCHOTEN,Antwerpen
f6cf57f1a1abaf46b0bd618d8be006c55407d8d3,Muntjak,2022-02-11,2022,SCHOTEN,Antwerpen
16ce465d29b9d2d82bee402bcc879e847330168f,Muntjak,2022-02-14,2022,SCHOTEN,Antwerpen
1f4030fdb589fd707ddcd6b065cf9ea8ec35e066,Muntjak,2022-02-28,2022,SCHOTEN,Antwerpen
600b36dd2111af665b968d72a26a3c9e1d94027f,Muntjak,2022-03-17,2022,SCHOTEN,Antwerpen
e7c8bd1e189c6dbed94ff89611ad8628f94d91d0,Muntjak,2022-03-30,2022,WUUSTWEZEL,Antwerpen
